,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Team,Score
522,0.3061224489795933,0.4388489208633093,0.5517241379310343,0.3689320388349513,0.3673469387755103,0.37105263157894736,0.4999999999999998,0.47727272727272707,0.5659340659340659,0.32467532467532445,0.39370078740157466,0.28402366863905315,0.8100558659217882,0.29166666666666685,0.5260115606936415,0.5465838509316767,0.2928571428571429,0.03076923076923077,0.5689655172413794,0.2911392405063291,0.29523809523809486,0.4319371727748691,2016,NYK,0.0
576,0.5510204081632608,0.6258992805755392,0.672413793103448,0.5242718446601939,0.3945578231292517,0.38947368421052625,0.5243902439024388,0.6590909090909092,0.6263736263736266,0.46103896103896114,0.2362204724409448,0.20710059171597628,0.541899441340782,0.2812500000000001,0.4682080924855492,0.4782608695652173,0.5142857142857145,0.41538461538461524,0.46551724137931033,0.379746835443038,0.3904761904761902,0.5287958115183242,2016,ORL,0.0
603,0.3061224489795933,0.3884892086330938,0.5517241379310343,0.29126213592232997,0.4965986394557824,0.5289473684210526,0.45731707317073167,0.2878787878787876,0.40109890109890123,0.3571428571428572,0.27559055118110243,0.3550295857988166,0.18994413407821176,0.19791666666666674,0.39884393063583823,0.34782608695652195,0.3642857142857143,0.4307692307692308,0.6206896551724139,0.6708860759493669,0.4857142857142853,0.40575916230366493,2016,PHI,0.0
630,0.06122448979591866,0.4604316546762588,0.6206896551724137,0.33009708737864063,0.47619047619047616,0.4842105263157895,0.5121951219512193,0.38636363636363624,0.4917582417582418,0.331168831168831,0.4173228346456693,0.3905325443786982,0.508379888268156,0.4062500000000001,0.48554913294797664,0.5714285714285712,0.30714285714285716,0.33846153846153837,0.24137931034482757,0.7721518987341771,0.5809523809523807,0.4973821989528795,2016,PHO,0.0
684,0.3061224489795933,0.6618705035971222,0.6551724137931036,0.6116504854368934,0.40816326530612246,0.3947368421052631,0.5792682926829269,0.6742424242424243,0.6071428571428572,0.5129870129870131,0.49606299212598437,0.5266272189349113,0.36312849162011185,0.3125000000000001,0.5086705202312141,0.5341614906832297,0.5785714285714287,0.523076923076923,0.3620689655172415,0.6455696202531642,0.3619047619047615,0.6465968586387434,2016,SAC,0.0
765,0.6938775510204067,0.38129496402877683,0.39655172413793105,0.46601941747572795,0.44217687074829937,0.43421052631578944,0.5548780487804879,0.34090909090909083,0.40109890109890123,0.43506493506493493,0.3858267716535434,0.37869822485207094,0.46927374301675995,0.32291666666666663,0.4393063583815029,0.4720496894409938,0.18571428571428572,0.33846153846153837,0.4827586206896553,0.4810126582278482,0.3428571428571425,0.413612565445026,2016,UTA,0.0
790,0.18367346938775597,0.6258992805755392,0.6293103448275859,0.5728155339805827,0.44897959183673464,0.4421052631578947,0.5731707317073169,0.5833333333333335,0.5412087912087913,0.5194805194805197,0.3385826771653543,0.34911242603550297,0.39106145251396596,0.15625,0.45664739884393035,0.38509316770186297,0.5785714285714287,0.4769230769230768,0.25862068965517243,0.4303797468354431,0.3999999999999999,0.581151832460733,2016,WAS,0.0
262,0.24489795918367463,0.8848920863309351,0.6853448275862064,0.9126213592233006,0.6802721088435374,0.6263157894736842,0.7256097560975612,0.6060606060606064,0.38186813186813184,0.8831168831168834,0.4409448818897638,0.3550295857988166,0.7150837988826821,0.1875000000000001,0.5838150289017339,0.5465838509316767,1.0,0.6307692307692307,0.7586206896551726,0.4683544303797469,0.2571428571428569,0.8900523560209428,2017,GSW,5.0
154,0.48979591836734926,0.6546762589928052,0.5905172413793105,0.6699029126213594,0.7482993197278912,0.6973684210526314,0.7317073170731707,0.2878787878787876,0.25,0.6948051948051952,0.4173228346456693,0.39644970414201186,0.49162011173184395,0.17708333333333348,0.5491329479768785,0.5031055900621118,0.44999999999999996,0.16923076923076907,0.2758620689655173,0.3291139240506329,0.1428571428571428,0.743455497382199,2017,CLE,4.0
48,0.18367346938775597,0.5611510791366907,0.5991379310344827,0.5145631067961167,0.6802721088435374,0.6842105263157894,0.5792682926829269,0.26515151515151514,0.2692307692307694,0.6103896103896105,0.5118110236220471,0.3905325443786982,0.8212290502793302,0.15625,0.46242774566473965,0.3975155279503104,0.6285714285714286,0.3076923076923077,0.29310344827586204,0.278481012658228,0.38095238095238093,0.6832460732984291,2017,BOS,3.0
