,Team,Actual_Score,Year,Predicted_Score
503,IND,4.0,2013,0.0
504,MEM,4.0,2013,0.0
505,CHI,2.0,2013,0.0
506,GSW,2.0,2013,1.0
507,NYK,2.0,2013,7.0
508,OKC,2.0,2013,7.0
509,ATL,1.0,2013,1.0
510,BOS,1.0,2013,0.0
511,BRK,1.0,2013,0.0
512,DEN,1.0,2013,10.0
513,HOU,1.0,2013,1.0
514,LAC,1.0,2013,10.0
515,LAL,1.0,2013,0.0
516,MIL,1.0,2013,0.0
517,CHO,0.0,2013,0.0
518,CLE,0.0,2013,0.0
519,DAL,0.0,2013,1.0
520,DET,0.0,2013,0.0
521,MIN,0.0,2013,1.0
522,NOP,0.0,2013,0.0
523,ORL,0.0,2013,0.0
524,PHI,0.0,2013,0.0
525,PHO,0.0,2013,0.0
526,POR,0.0,2013,0.0
527,SAC,0.0,2013,1.0
528,TOR,0.0,2013,1.0
529,UTA,0.0,2013,2.0
530,WAS,0.0,2013,4.0
531,SAS,10.0,2014,1.0
532,MIA,7.0,2014,2.0
533,IND,4.0,2014,0.0
534,OKC,4.0,2014,7.0
535,BRK,2.0,2014,1.0
536,LAC,2.0,2014,7.0
537,POR,2.0,2014,0.0
538,WAS,2.0,2014,1.0
539,ATL,1.0,2014,1.0
540,CHO,1.0,2014,2.0
541,CHI,1.0,2014,1.0
542,DAL,1.0,2014,1.0
543,GSW,1.0,2014,7.0
544,HOU,1.0,2014,1.0
545,MEM,1.0,2014,0.0
546,TOR,1.0,2014,7.0
547,BOS,0.0,2014,0.0
548,CLE,0.0,2014,2.0
549,DEN,0.0,2014,0.0
550,DET,0.0,2014,1.0
551,LAL,0.0,2014,1.0
552,MIL,0.0,2014,0.0
553,MIN,0.0,2014,1.0
554,NOP,0.0,2014,2.0
555,NYK,0.0,2014,0.0
556,ORL,0.0,2014,0.0
557,PHI,0.0,2014,1.0
558,PHO,0.0,2014,4.0
559,SAC,0.0,2014,0.0
560,UTA,0.0,2014,0.0
561,GSW,10.0,2015,4.0
562,CLE,7.0,2015,1.0
563,ATL,4.0,2015,0.0
564,HOU,4.0,2015,4.0
565,CHI,2.0,2015,2.0
566,LAC,2.0,2015,2.0
567,MEM,2.0,2015,1.0
568,WAS,2.0,2015,2.0
569,BOS,1.0,2015,1.0
570,BRK,1.0,2015,1.0
571,DAL,1.0,2015,2.0
572,MIL,1.0,2015,2.0
573,NOP,1.0,2015,1.0
574,POR,1.0,2015,1.0
575,SAS,1.0,2015,4.0
576,TOR,1.0,2015,1.0
577,CHO,0.0,2015,2.0
578,DEN,0.0,2015,2.0
579,DET,0.0,2015,1.0
580,IND,0.0,2015,1.0
581,LAL,0.0,2015,0.0
582,MIA,0.0,2015,4.0
583,MIN,0.0,2015,0.0
584,NYK,0.0,2015,0.0
585,OKC,0.0,2015,0.0
586,ORL,0.0,2015,0.0
587,PHI,0.0,2015,1.0
588,PHO,0.0,2015,0.0
589,SAC,0.0,2015,1.0
590,UTA,0.0,2015,1.0
591,CLE,10.0,2016,1.0
592,GSW,7.0,2016,10.0
593,OKC,4.0,2016,4.0
594,TOR,4.0,2016,1.0
595,ATL,2.0,2016,7.0
596,MIA,2.0,2016,2.0
597,POR,2.0,2016,1.0
598,SAS,2.0,2016,10.0
599,BOS,1.0,2016,0.0
600,CHO,1.0,2016,2.0
601,DAL,1.0,2016,1.0
602,DET,1.0,2016,0.0
603,HOU,1.0,2016,4.0
604,IND,1.0,2016,0.0
605,LAC,1.0,2016,4.0
606,MEM,1.0,2016,0.0
607,BRK,0.0,2016,0.0
608,CHI,0.0,2016,2.0
609,DEN,0.0,2016,0.0
610,LAL,0.0,2016,0.0
611,MIL,0.0,2016,1.0
612,MIN,0.0,2016,4.0
613,NOP,0.0,2016,1.0
614,NYK,0.0,2016,0.0
615,ORL,0.0,2016,1.0
616,PHI,0.0,2016,0.0
617,PHO,0.0,2016,0.0
618,SAC,0.0,2016,1.0
619,UTA,0.0,2016,0.0
620,WAS,0.0,2016,1.0
621,GSW,10.0,2017,7.0
622,CLE,7.0,2017,4.0
623,BOS,4.0,2017,0.0
624,SAS,4.0,2017,1.0
625,HOU,2.0,2017,2.0
626,TOR,2.0,2017,0.0
627,UTA,2.0,2017,1.0
628,WAS,2.0,2017,4.0
629,ATL,1.0,2017,4.0
630,CHI,1.0,2017,1.0
631,IND,1.0,2017,1.0
632,LAC,1.0,2017,4.0
633,MEM,1.0,2017,1.0
634,MIL,1.0,2017,1.0
635,OKC,1.0,2017,0.0
636,POR,1.0,2017,0.0
637,BRK,0.0,2017,2.0
638,CHO,0.0,2017,4.0
639,DAL,0.0,2017,4.0
640,DEN,0.0,2017,2.0
641,DET,0.0,2017,1.0
642,LAL,0.0,2017,0.0
643,MIA,0.0,2017,0.0
644,MIN,0.0,2017,0.0
645,NOP,0.0,2017,0.0
646,NYK,0.0,2017,1.0
647,ORL,0.0,2017,0.0
648,PHI,0.0,2017,0.0
649,PHO,0.0,2017,0.0
650,SAC,0.0,2017,1.0
651,GSW,10.0,2018,2.0
652,CLE,7.0,2018,7.0
653,BOS,4.0,2018,4.0
654,HOU,4.0,2018,2.0
655,NOP,2.0,2018,4.0
656,PHI,2.0,2018,0.0
657,TOR,2.0,2018,0.0
658,UTA,2.0,2018,0.0
659,IND,1.0,2018,2.0
660,MIA,1.0,2018,1.0
661,MIL,1.0,2018,0.0
662,MIN,1.0,2018,4.0
663,OKC,1.0,2018,1.0
664,POR,1.0,2018,2.0
665,SAS,1.0,2018,0.0
666,WAS,1.0,2018,4.0
667,ATL,0.0,2018,4.0
668,BRK,0.0,2018,1.0
669,CHO,0.0,2018,0.0
670,CHI,0.0,2018,1.0
671,DAL,0.0,2018,1.0
672,DEN,0.0,2018,2.0
673,DET,0.0,2018,4.0
674,LAC,0.0,2018,0.0
675,LAL,0.0,2018,0.0
676,MEM,0.0,2018,0.0
677,NYK,0.0,2018,2.0
678,ORL,0.0,2018,0.0
679,PHO,0.0,2018,0.0
